Image_Name,Pose,Left Elbow Angle,Right Elbow Angle,Left Shoulder Angle,Right Shoulder Angle,Left Knee Angle,Right Knee Angle,Torso Alignment
00000128.jpg,downdog,196.7660214749168,180.90925056409816,176.10593830896175,194.78716373868295,182.1015372292416,172.3821343496907,240.3417736276213
00000129.jpg,downdog,196.86639243147206,185.4548910482989,186.39660477161408,178.9808968609352,179.16207749833018,174.16991123901752,236.03275373386046
00000130.jpg,downdog,192.64618436432133,188.2792926150167,190.7601946426091,173.6701624055552,151.56066835891977,142.08999296399077,211.79536690659742
00000131.jpg,downdog,191.41735242775292,183.32558693746603,182.78755180686687,188.0385359476271,174.18770550559537,172.5394489566367,244.02133719017533
00000132.png,downdog,163.6412731199291,159.9890524325708,163.6867626749138,198.75827927796007,184.23413063822693,192.1658914022364,118.26909537454297
00000133.jpg,downdog,193.30440675955438,179.34371465554923,180.011095484683,186.30964735337176,184.7930992503077,179.0148175702343,245.0700678196108
00000134.jpg,downdog,196.61554260942924,180.4598042635733,187.24043275295722,178.96499957659825,176.71685729865888,170.96733799832415,226.32520928515788
00000135.jpg,downdog,210.02718099838884,242.43367870123686,150.9322484946307,180.19482065312056,168.59721704432116,176.03001836090465,177.3616066620744
00000137.jpg,downdog,202.6245608234652,180.22384934845886,189.26368838898705,185.08134024387397,178.39893243897404,173.3391477808357,239.36484294581953
00000138.jpg,downdog,191.33931850741516,172.38304077221161,168.18262107107324,197.97357971207902,187.3089218042606,177.93939258988496,244.41814022557378
00000139.jpg,downdog,203.1705990425744,172.28041052732834,182.51925288793606,194.77658649612883,174.5145400796287,162.98643769526552,235.72165310038798
00000140.jpg,downdog,194.5178636236937,182.15786121478672,183.5914013631411,183.55739557683026,179.7586065136517,174.38015280203098,239.5160958154633
00000142.jpg,downdog,231.2563084846724,205.57178170004835,205.8455676900912,163.19529789823926,176.04905727846955,172.62200135762706,238.65017202081634
00000143.jpg,downdog,200.46215461766678,178.90164380501903,210.27378783411874,164.0233977488389,178.71927827430463,174.54765299744358,228.38070984455177
00000144.jpg,downdog,162.8940218208809,166.06636139153844,180.03595739694586,181.80129508212383,183.6330599245142,192.44956511685956,124.25133236045517
00000145.jpg,downdog,199.77350580196136,181.1674343655303,192.88325944947096,179.41017520764572,180.60588645444938,173.9490630451364,234.7633677727301
00000146.jpg,downdog,187.6862120111486,187.3690328489334,162.86168758367046,199.29342420604917,183.1642669537938,185.48078662819083,242.4625592095436
00000150.jpg,downdog,193.65423548365942,185.4696891548864,190.7561961480447,177.06557068055164,182.90564499463127,180.7919970187758,248.48969088979652
00000151.jpg,downdog,151.9161931819106,166.53985654122664,182.59392297091978,174.46532904331087,183.43576616031507,186.9308398365739,127.04820575335376
00000152.jpg,downdog,196.7205685798934,187.77958234614022,211.87186254511903,150.59811188288216,178.1318979132069,170.8114877990906,220.70282940293612
00000153.jpg,downdog,149.57865618446647,151.80743101838303,164.7326751747668,207.14640553251803,190.57898884582767,191.24335404488826,127.5457299536802
00000154.jpg,downdog,197.54747445737328,186.8802271535866,196.68211566416616,172.68758169583919,173.69130787038733,166.79908458305263,224.01634116878878
00000155.jpg,downdog,162.47782167582872,163.47633325768882,176.0062437914168,189.70737769757417,205.3044473896853,213.6270828471936,133.0801705452128
00000156.jpg,downdog,190.29548597260575,192.8788161389919,172.30611332023597,185.92797610568573,166.52304536102332,162.36765873913998,234.4957149360601
00000158.jpg,downdog,199.77350580196136,181.1674343655303,192.88325944947096,179.41017520764572,180.60588645444938,173.9490630451364,234.7633677727301
00000159.jpg,downdog,196.7205685798934,187.77958234614022,211.87186254511903,150.59811188288216,178.1318979132069,170.8114877990906,220.70282940293612
00000160.jpg,downdog,197.54747445737328,186.8802271535866,196.68211566416616,172.68758169583919,173.69130787038733,166.79908458305263,224.01634116878878
00000161.jpg,downdog,187.6862120111486,187.3690328489334,162.86168758367046,199.29342420604917,183.1642669537938,185.48078662819083,242.4625592095436
00000162.jpg,downdog,151.9161931819106,166.53985654122664,182.59392297091978,174.46532904331087,183.43576616031507,186.9308398365739,127.04820575335376
00000163.jpg,downdog,149.57865618446647,151.80743101838303,164.7326751747668,207.14640553251803,190.57898884582767,191.24335404488826,127.5457299536802
00000164.jpg,downdog,162.47782167582872,163.47633325768882,176.0062437914168,189.70737769757417,205.3044473896853,213.6270828471936,133.0801705452128
00000165.jpg,downdog,190.29548597260575,192.8788161389919,172.30611332023597,185.92797610568573,166.52304536102332,162.36765873913998,234.4957149360601
00000166.jpg,downdog,193.65423548365942,185.4696891548864,190.7561961480447,177.06557068055164,182.90564499463127,180.7919970187758,248.48969088979652
00000170.jpg,downdog,203.18585837119622,186.26015291189492,185.40283565019246,182.89276236839214,181.09072010852395,178.0359296269988,244.66342416475476
00000172.jpg,downdog,161.0889664877383,168.34623415244204,192.10597250067636,166.10208552119101,191.71753746301232,201.47867044639386,123.98238934883629
00000174.jpg,downdog,157.16447076379342,161.61070158673084,198.81344843153576,174.38947567049718,271.8566252483317,268.6799399803218,198.48515858694995
00000175.jpg,downdog,188.03831205260371,187.75395918561117,182.76615571472794,182.58876831365976,171.24887529735335,164.9722776384693,232.50530657541162
00000176.jpg,downdog,189.36831019032468,176.75281263911972,175.00160034624628,194.180246269277,183.57726492336576,176.89492736800563,243.27880235526754
00000177.jpg,downdog,149.06711931689725,129.57571409611447,155.73004253986846,218.78960764349688,209.82442024813994,210.77448947715087,138.90601061750615
00000179.jpg,downdog,191.26361547707748,173.20603851934456,165.587970420417,205.44288883006698,178.17133181179648,170.51152843357596,238.56824239242223
00000180.jpg,downdog,148.78752357634295,160.4295442927928,183.90080199550192,173.36926527679532,185.06622934814501,186.17863450892946,124.67198090955989
00000181.bmp,downdog,168.6446443673638,172.3535135109325,189.85069807643148,164.24130793644346,191.31725018104808,189.80453763364778,127.8043252386269
00000182.jpg,downdog,195.24561725678828,189.86920226434515,293.79417892590686,73.23481585613925,71.38015159243976,95.7156823009841,139.2251960202692
00000183.jpg,downdog,199.4323483514021,180.91688251665158,170.1543972499437,198.9152617288347,184.8073829586761,180.08824573823276,243.77068716318223
00000186.png,downdog,157.22569867507215,164.35269202039245,169.6664534612598,186.80025478435405,184.32642804666114,182.58715858523075,116.42071947066161
00000187.jpg,downdog,197.05259413405645,187.14052318455714,193.177921514721,170.1131746365774,179.29198947385797,176.2693904549486,247.0440125739795
00000189.jpg,downdog,194.7652980928161,197.89244592221684,197.40092122437161,162.7727037833997,161.1645347848425,167.311580036486,225.64731359512706
00000197.jpg,downdog,202.12494462138804,185.48785900071914,202.66576950124872,171.19199488426236,175.48318498808368,171.3642862788441,229.01784245467223
00000198.png,downdog,165.62984817247735,163.72127470457926,160.62844448912858,201.99012758540854,180.19057364561056,182.3927454004531,129.30682534496458
00000199.jpg,downdog,148.78752357634295,160.4295442927928,183.90080199550192,173.36926527679532,185.06622934814501,186.17863450892946,124.67198090955989
00000200.jpg,downdog,199.43404798990468,181.7560081430599,180.9728406081687,190.73318634131823,177.95261161404326,175.5356771848775,242.27120164475602
00000201.jpg,downdog,191.26361547707748,173.20603851934456,165.587970420417,205.44288883006698,178.17133181179648,170.51152843357596,238.56824239242223
00000203.png,downdog,157.22569867507215,164.35269202039245,169.6664534612598,186.80025478435405,184.32642804666114,182.58715858523075,116.42071947066161
00000204.jpg,downdog,198.05420474355927,193.467425591709,225.96025599059683,138.17177320065207,169.4530573870801,172.5300984869245,229.05427925289857
00000206.jpg,downdog,194.2875477737849,194.74543790540275,196.93375301189462,164.2685751074145,171.59121951233183,172.26626687029412,231.32619022208755
00000208.jpg,downdog,162.9715682951509,164.61733577025564,63.246936290132126,297.06250943139776,185.09232079025605,186.22147154742544,180.34938793809803
00000209.jpg,downdog,196.74102267471258,180.6347869802578,178.5399952488061,192.2149439519652,182.72707147847706,177.94654035058122,240.23489262264266
00000210.jpg,downdog,172.16705817204002,147.97884512262675,151.61030306540923,211.41191784336806,182.81039202922383,194.3821027857909,123.86569593165582
00000213.jpg,downdog,191.9465678866896,182.1170624046899,186.2591069477029,180.26687191863732,176.23712086943667,168.64692586120955,231.50820412599958
00000214.jpg,downdog,161.97196532281785,166.58067808870655,183.549914259187,181.32585644574337,185.80273290379765,191.05877684588074,125.3585594392083
00000215.jpg,downdog,189.89603806729508,169.1012683323839,166.91816730487244,20.599038697277155,194.01073638264631,180.6130292198503,145.50230454849466
00000217.jpg,downdog,187.0845819626031,176.21829198421446,168.4656158531375,202.45295997689064,184.28826232429415,177.84980694370444,245.78260823464922
